Date,High,Low,Open,Close,Volume,Adj Close
8/23/2020,1410.34,1394.09,1399.48,1410.34,1108053597.00,1410.34
8/24/2020,1431.60,1413.09,1413.09,1431.60,2139202075.00,1431.60
8/25/2020,1440.94,1428.74,1435.21,1440.94,1855180510.00,1440.94
8/26/2020,1468.03,1445.47,1445.47,1462.03,2656163730.00,1462.03
8/27/2020,1472.73,1454.96,1467.07,1458.04,1981761050.00,1458.04
8/30/2020,1462.67,1444.92,1459.16,1462.67,1614554300.00,1462.67
8/31/2020,1489.01,1466.57,1466.57,1484.99,3462586125.00,1484.99
9/2/2020,1519.78,1499.72,1509.40,1510.57,4181036115.00,1510.57
9/3/2020,1524.67,1497.47,1524.19,1510.42,2634886231.00,1510.42
9/6/2020,1538.42,1494.97,1538.42,1499.97,2782377887.00,1499.97
9/7/2020,1503.37,1483.65,1503.37,1487.81,2164930214.00,1487.81
9/8/2020,1500.15,1477.25,1491.33,1495.15,1798363063.00,1495.15
9/9/2020,1511.93,1495.11,1501.86,1508.20,2563415186.00,1508.20
9/10/2020,1532.48,1512.53,1514.13,1520.69,2170068283.00,1520.69
9/13/2020,1537.25,1522.28,1528.15,1537.25,3386859972.00,1537.25
9/14/2020,1553.56,1538.43,1545.68,1540.51,3134135908.00,1540.51
9/15/2020,1548.35,1531.05,1544.71,1536.03,1800197903.00,1536.03
9/16/2020,1543.98,1530.67,1537.35,1541.40,1845634030.00,1541.40
9/17/2020,1577.99,1547.13,1555.86,1572.18,3315664319.00,1572.18
9/20/2020,1605.12,1574.08,1595.47,1575.18,2742795692.00,1575.18
9/21/2020,1587.99,1561.49,1587.82,1569.06,2637376216.00,1569.06
9/22/2020,1577.19,1541.75,1576.55,1546.15,2810425268.00,1546.15
9/23/2020,1555.52,1535.03,1543.37,1555.52,1727821707.00,1555.52
9/24/2020,1565.31,1554.38,1565.31,1561.27,2233489024.00,1561.27
9/27/2020,1575.43,1562.11,1569.06,1565.55,3138243371.00,1565.55
9/28/2020,1569.31,1557.42,1566.44,1560.83,1690154525.00,1560.83
9/29/2020,1564.92,1552.77,1564.92,1553.62,1829872968.00,1553.62
9/30/2020,1563.40,1542.57,1561.58,1550.43,1953636694.00,1550.43
10/1/2020,1572.94,1553.95,1553.95,1571.04,2807708137.00,1571.04
10/4/2020,1588.05,1577.77,1577.77,1585.75,3178853719.00,1585.75
10/5/2020,1594.89,1580.65,1587.31,1582.12,2578607088.00,1582.12
10/6/2020,1588.01,1581.75,1588.01,1586.29,2510585332.00,1586.29
10/7/2020,1602.14,1587.59,1593.04,1600.97,3358506296.00,1600.97
10/8/2020,1614.04,1586.96,1607.52,1589.63,2862712521.00,1589.63
10/11/2020,1594.36,1574.62,1594.01,1576.27,2395432599.00,1576.27
10/12/2020,1580.80,1566.70,1580.14,1578.01,1949060194.00,1578.01
10/13/2020,1584.28,1567.23,1583.29,1568.59,1819638977.00,1568.59
10/14/2020,1573.08,1560.45,1572.35,1561.17,1496387992.00,1561.17
10/15/2020,1579.55,1560.69,1564.69,1562.46,1425890738.00,1562.46
10/18/2020,1567.89,1554.14,1565.90,1556.80,1252748181.00,1556.80
10/19/2020,1570.38,1555.46,1556.85,1570.38,954656107.00,1570.38
10/20/2020,1583.60,1573.06,1576.62,1583.60,1271829990.00,1583.60
10/21/2020,1597.71,1588.78,1591.04,1597.71,1633246148.00,1597.71
10/22/2020,1609.52,1596.22,1609.11,1606.25,1994543919.00,1606.25
10/28/2020,1647.45,1612.37,1612.50,1647.45,2725994069.00,1647.45
10/29/2020,1663.41,1640.48,1661.64,1645.67,3037694845.00,1645.67
11/1/2020,1654.15,1634.63,1654.15,1640.95,2930939007.00,1640.95
11/2/2020,1646.90,1635.64,1644.01,1637.63,2453954688.00,1637.63
11/3/2020,1644.61,1635.15,1636.20,1643.03,2237964572.00,1643.03
11/4/2020,1645.70,1638.69,1645.53,1640.64,1757423745.00,1640.64
11/5/2020,1645.08,1634.38,1644.94,1636.17,2842469177.00,1636.17
11/8/2020,1648.58,1637.80,1643.29,1648.58,3526777261.00,1648.58
11/9/2020,1661.32,1648.75,1648.75,1652.80,3699879726.00,1652.80
11/10/2020,1678.79,1659.18,1660.37,1678.79,4096190256.00,1678.79
11/11/2020,1707.67,1681.82,1681.82,1707.67,4099604742.00,1707.67
11/12/2020,1722.32,1702.70,1713.71,1718.49,4256475891.00,1718.49
11/18/2020,1741.81,1708.87,1714.86,1741.81,4791041649.00,1741.81
11/19/2020,1779.21,1750.42,1750.42,1778.12,6116730071.00,1778.12
11/22/2020,1811.63,1761.75,1791.21,1782.81,6878787665.00,1782.81
11/23/2020,1792.41,1772.11,1789.35,1780.43,4762704611.00,1780.43
11/24/2020,1813.86,1786.71,1790.19,1810.11,5442950189.00,1810.11
11/25/2020,1874.81,1820.87,1820.87,1874.81,6817774994.00,1874.81
11/26/2020,1926.91,1879.00,1894.78,1893.24,7613030091.00,1893.24
11/29/2020,1971.42,1912.11,1912.11,1968.27,9227348348.00,1968.27
11/30/2020,2028.45,1971.24,2000.00,1997.05,8867714682.00,1997.05
12/1/2020,2022.25,1966.18,2009.46,2000.40,7404154007.00,2000.40
12/2/2020,2077.70,2016.82,2016.82,2071.02,7463482972.00,2071.02
12/3/2020,2118.41,2040.99,2090.79,2055.45,8026023798.00,2055.45
12/6/2020,2051.51,1932.11,2051.51,1932.11,7209180213.00,1932.11
12/7/2020,2004.39,1914.42,1929.46,2004.39,6667956831.00,2004.39
12/8/2020,2047.35,1982.07,2033.97,1995.35,5719436384.00,1995.35
12/9/2020,2009.81,1948.98,2006.40,1955.75,4745649292.00,1955.75
12/10/2020,1974.12,1938.92,1954.60,1964.02,4146321050.00,1964.02
12/13/2020,2010.45,1967.44,1973.75,2010.45,4899484131.00,2010.45
12/14/2020,2069.06,2022.72,2022.72,2067.17,7204136923.00,2067.17
12/15/2020,2100.96,2050.90,2085.56,2061.41,6069331687.00,2061.41
12/16/2020,2097.20,2041.85,2097.20,2055.22,5144675578.00,2055.22
12/17/2020,2059.80,2025.19,2058.72,2032.51,6769890815.00,2032.51
12/20/2020,2046.57,1935.40,2046.57,1935.63,8612857317.00,1935.63
12/21/2020,1977.42,1874.07,1919.05,1965.96,6698874354.00,1965.96
12/22/2020,2061.41,1987.47,1987.47,2061.41,6740744432.00,2061.41
12/23/2020,2127.22,2063.13,2094.27,2068.45,6862445215.00,2068.45
12/24/2020,2091.59,2025.65,2091.59,2038.63,5369046322.00,2038.63
12/27/2020,2047.19,1994.80,2047.12,1998.65,4623452312.00,1998.65
12/28/2020,2013.51,1981.50,1998.81,2007.29,3850320045.00,2007.29
12/29/2020,2031.47,2009.38,2016.26,2012.89,4092227802.00,2012.89
12/30/2020,2062.06,2023.40,2023.59,2062.06,4446222579.00,2062.06
12/31/2020,2112.59,2073.80,2079.37,2087.27,5703469837.00,2087.27
1/3/2021,2175.39,2104.85,2104.85,2175.39,6344017889.00,2175.39
1/4/2021,2216.44,2154.00,2207.05,2169.04,5961733122.00,2169.04
1/5/2021,2182.39,2149.74,2167.82,2165.49,4566381178.00,2165.49
1/6/2021,2185.20,2170.31,2170.82,2178.57,4425472339.00,2178.57
1/7/2021,2204.97,2179.09,2181.27,2194.48,5874708279.00,2194.48
1/10/2021,2238.24,2201.38,2201.38,2235.72,6326646806.00,2235.72
1/11/2021,2266.44,2229.13,2264.27,2239.42,5524832993.00,2239.42
1/12/2021,2267.73,2233.61,2243.16,2267.73,4982391897.00,2267.73
1/13/2021,2296.17,2277.26,2279.04,2286.54,5914389261.00,2286.54
1/17/2021,2316.80,2297.50,2299.33,2315.00,6374267782.00,2315.00
1/18/2021,2340.57,2319.58,2333.87,2332.31,6314664167.00,2332.31
1/19/2021,2362.86,2304.98,2361.99,2326.90,7467439848.00,2326.90
1/20/2021,2362.99,2322.72,2361.52,2342.76,6210966026.00,2342.76
1/21/2021,2376.13,2354.70,2372.86,2374.64,7798528433.00,2374.64
1/24/2021,2429.11,2396.74,2396.74,2424.84,9376053220.00,2424.84
1/25/2021,2456.22,2408.87,2447.01,2440.87,8903538731.00,2440.87
1/26/2021,2462.28,2419.89,2461.42,2423.09,8279701077.00,2423.09
1/27/2021,2449.42,2416.62,2433.74,2441.85,8006238770.00,2441.85
1/28/2021,2460.83,2420.64,2460.83,2425.29,9898456128.00,2425.29
1/31/2021,2425.53,2366.46,2425.53,2370.54,8973206450.00,2370.54
2/1/2021,2413.18,2372.04,2372.04,2408.24,6972936529.00,2408.24
2/2/2021,2473.73,2429.90,2434.48,2473.73,8593472987.00,2473.73
2/3/2021,2519.85,2457.99,2490.53,2466.92,9531716496.00,2466.92
2/4/2021,2481.59,2443.68,2479.60,2475.26,7615071093.00,2475.26
2/7/2021,2524.00,2486.79,2486.79,2524.00,10441951304.00,2524.00
2/8/2021,2563.29,2538.83,2553.78,2561.47,10619163869.00,2561.47
2/9/2021,2585.15,2524.44,2562.43,2534.37,8146269193.00,2534.37
2/10/2021,2547.76,2511.03,2544.80,2543.03,7649411398.00,2543.03
2/11/2021,2565.13,2524.81,2552.33,2526.92,8411732003.00,2526.92
2/14/2021,2536.47,2482.24,2536.47,2493.59,6927668931.00,2493.59
2/15/2021,2586.01,2538.22,2517.46,2586.01,10384197669.00,2586.01
2/16/2021,2631.37,2584.14,2615.36,2601.51,10035454955.00,2601.51
2/17/2021,2623.64,2596.19,2619.80,2611.45,8035510844.00,2611.45
2/18/2021,2642.47,2619.17,2634.47,2636.68,8762146785.00,2636.68
2/21/2021,2667.59,2619.58,2667.27,2640.34,8834603967.00,2640.34
2/22/2021,2673.85,2603.86,2665.86,2607.67,8406310671.00,2607.67
2/23/2021,2627.33,2519.41,2627.33,2586.51,8561539426.00,2586.51
2/24/2021,2620.45,2498.58,2600.32,2599.07,6701872439.00,2599.07
2/25/2021,2622.77,2547.84,2622.70,2554.13,6098188414.00,2554.13
2/28/2021,2559.43,2474.39,2557.79,2474.39,8355289814.00,2474.39
3/1/2021,2524.40,2442.60,2488.33,2515.03,5692316831.00,2515.03
3/2/2021,2529.64,2437.25,2523.45,2455.33,6119638669.00,2455.33
3/3/2021,2428.88,2391.40,2449.23,2416.00,6254809442.00,2416.00
3/4/2021,2506.68,2427.25,2425.20,2506.68,6058104317.00,2506.68
3/7/2021,2525.30,2473.57,2519.96,2485.09,5005466480.00,2485.09
3/9/2021,2494.05,2453.53,2494.05,2461.88,4752708147.00,2461.88
